StudentID,Gender,Age,Study_Hours,Attendance,Previous_Marks,Assignment_Score,Sleep_Hours,Extracurricular,Result
74,Male,21,5.7,42.0,67.0,59.0,7.4,No,Fail
52,Male,20,3.8,97.0,36.0,76.0,4.6,Yes,Pass
90,Female,21,6.7,41.0,50.0,62.0,6.9,No,Fail
123,Male,19,0.7,40.0,45.0,64.0,6.3,No,Fail
27,Female,19,4.6,61.0,70.0,71.0,4.9,Yes,Fail
86,Male,19,4.0,95.0,41.0,69.0,6.6,No,Pass
139,Female,18,0.5,51.0,46.0,57.0,7.1,No,Fail
115,Female,18,5.4,44.0,66.0,91.0,7.4,Yes,Pass
102,Female,21,4.4,89.0,54.0,72.0,7.7,No,Pass
45,Male,17,7.2,46.0,55.0,72.0,6.1,Yes,Fail
61,Male,19,6.9,54.0,82.0,87.0,8.4,No,Pass
85,Female,22,0.5,51.0,46.0,61.0,6.4,Yes,Fail
79,Male,18,4.7,77.0,34.0,,5.6,Yes,Fail
116,Female,18,4.0,77.0,72.0,81.0,8.3,Yes,Fail
14,Female,18,4.0,75.0,45.0,64.0,6.8,No,Fail
97,Female,19,4.9,59.0,83.0,88.0,7.5,Yes,Pass
69,Female,18,4.2,92.0,73.0,90.0,6.3,Yes,Pass
44,Female,21,5.1,60.0,59.0,83.0,5.8,No,Pass
81,Male,17,5.9,50.0,65.0,77.0,7.8,Yes,Fail
40,Male,20,2.4,52.0,39.0,64.0,5.7,Yes,Fail
110,Female,19,6.3,40.0,63.0,85.0,6.8,No,Pass
4,Male,21,5.4,94.0,63.0,78.0,7.0,No,Fail
10,Female,17,2.5,58.0,47.0,63.0,6.7,No,Fail
38,Male,20,3.8,82.0,48.0,64.0,4.9,No,Fail
135,Male,19,4.4,89.0,63.0,63.0,6.9,No,Pass
28,Female,20,5.3,57.0,60.0,67.0,6.1,No,Pass
54,Female,20,0.5,85.0,42.0,61.0,6.1,Yes,Fail
32,Female,18,4.5,74.0,65.0,79.0,6.8,Yes,Fail
3,Male,18,2.4,93.0,48.0,67.0,6.4,No,Pass
29,Female,22,2.3,46.0,58.0,78.0,8.2,Yes,Pass
26,Female,21,3.2,65.0,62.0,61.0,,Yes,Fail
55,Female,18,4.6,79.0,78.0,100.0,6.9,Yes,Pass
22,Female,17,5.7,79.0,74.0,74.0,7.1,Yes,Pass
132,Female,20,6.8,53.0,78.0,74.0,6.5,No,Fail
101,Male,18,6.9,94.0,66.0,60.0,4.7,No,Fail
133,Male,17,,56.0,81.0,77.0,6.7,Yes,Pass
9,Male,18,1.5,42.0,40.0,52.0,6.0,Yes,Fail
71,Female,19,2.8,64.0,35.0,79.0,5.6,Yes,Pass
21,Female,21,10.1,51.0,87.0,89.0,7.3,No,Pass
68,Male,19,5.4,54.0,49.0,65.0,6.7,No,Fail
56,Female,18,1.9,46.0,49.0,70.0,7.1,No,Fail
13,Male,19,4.4,82.0,74.0,54.0,8.6,No,Pass
80,Male,17,3.3,80.0,56.0,74.0,6.1,No,Pass
24,Female,19,6.3,69.0,59.0,85.0,7.5,Yes,Pass
84,Female,18,5.0,49.0,60.0,82.0,4.6,No,Pass
89,Female,19,7.3,84.0,51.0,100.0,3.8,Yes,Pass
149,Male,19,4.9,,73.0,50.0,7.4,No,Pass
137,Male,17,6.2,98.0,79.0,84.0,8.0,No,Pass
48,Female,21,2.6,89.0,38.0,81.0,8.5,Yes,Pass
147,Male,17,4.7,40.0,85.0,67.0,9.0,No,Fail
46,Female,19,9.5,93.0,82.0,,7.0,No,Pass
140,Male,17,6.0,98.0,72.0,89.0,8.1,Yes,Pass
87,Female,20,6.0,43.0,47.0,74.0,7.5,Yes,Fail
8,Female,21,3.4,50.0,69.0,64.0,7.1,No,Fail
18,Male,21,3.8,87.0,50.0,88.0,6.3,Yes,Pass
111,Female,18,,40.0,52.0,65.0,7.0,No,Fail
39,Female,20,9.6,90.0,100.0,85.0,5.0,No,Pass
122,Male,19,4.7,54.0,63.0,53.0,7.2,No,Pass
114,Male,18,1.3,63.0,43.0,76.0,7.0,Yes,Fail
77,Female,18,4.3,95.0,85.0,91.0,6.3,No,Fail
7,Male,20,2.9,45.0,52.0,72.0,5.8,No,Fail
104,Female,18,1.0,53.0,57.0,59.0,7.0,No,Fail
142,Male,22,5.9,84.0,66.0,68.0,7.0,No,Pass
36,Female,21,6.6,89.0,,88.0,6.1,No,Fail
83,Female,17,6.8,86.0,70.0,79.0,6.9,Yes,Pass
109,Male,22,5.3,96.0,66.0,83.0,7.0,No,Fail
11,Female,20,8.3,62.0,56.0,82.0,7.9,Yes,Pass
138,Male,20,8.5,82.0,71.0,89.0,4.4,No,Pass
70,Male,21,6.7,40.0,78.0,63.0,4.5,Yes,Pass
91,Male,19,8.6,85.0,65.0,96.0,3.7,Yes,Pass
124,Male,21,8.0,61.0,71.0,85.0,5.5,No,Pass
95,Male,20,3.6,51.0,52.0,79.0,4.0,No,Pass
143,Male,19,6.2,54.0,,64.0,4.4,No,Fail
12,Female,21,1.8,75.0,43.0,69.0,5.4,Yes,Pass
58,Female,22,7.6,92.0,66.0,78.0,5.8,No,Pass
88,Male,17,4.4,55.0,29.0,70.0,5.9,No,Fail
34,Male,20,10.8,,74.0,93.0,7.3,No,Pass
